File,Ground Truth,Transcription,WER,Matched Sentence,Jaccard Score,Correct Match,Speaker
10_1.wav,আপুনি কিয় খং কৰিছে,আব নেকিয়ও খং কৰিছে,0.5,আপুনি কিয় খং কৰি�ছে,0.25,False,1
10_2.wav,আপুনি কিয় খং কৰিছে,আপুনি কিয়ক সং কৰিছে,0.5,আপুনি কিয় খং কৰি�ছে,0.8947368421052632,False,2
11_1.wav,আপুনি কোন,আপনি কোন,0.5,আপুনি কোন,0.875,True,1
11_2.wav,আপুনি কোন,আপুনি কোন,0.0,আপুনি কোন,1.0,True,2
12_1.wav,আপুনি কোনখন কলেজ_স্কুলৰ হয়,আপুনি কোনখোন কলে জইসকুলৰ হয়,0.75,আপুনি কোনখন কলেজ_স্কুলৰ হয়,0.8518518518518519,True,1
12_2.wav,আপুনি কোনখন কলেজ_স্কুলৰ হয়,আপুনি কোনখন কলেছ স্কুলৰ হয়,0.5,আপুনি কোনখন কলেজ_স্কুলৰ হয়,0.4,True,2
13_1.wav,আপুনি কৰিব পাৰিব,আপুনি কৰিব পাৰিব,0.0,আপুনি কৰিব পাৰিব,1.0,True,1
13_2.wav,আপুনি কৰিব পাৰিব,আপুনি কৰিব পাৰিব,0.0,আপুনি কৰিব পাৰিব,1.0,True,2
14_1.wav,আপুনি ক’ৰ পৰা আহিছে,আপনি কোৰ বৰা আহিছে,0.75,আপুনি ক’ৰ পৰা আহিছে,0.8333333333333334,True,1
14_2.wav,আপুনি ক’ৰ পৰা আহিছে,আপুনি কোৰ পৰা আহিছে,0.25,আপুনি ক’ৰ পৰা আহিছে,0.3333333333333333,True,2
15_1.wav,আপুনি খালেনে,আপুনি ঘালেনে,0.5,আপুনি খালেনে,0.9166666666666666,True,1
15_2.wav,আপুনি খালেনে,আপোনিক খালােনে,1.0,আপুনি খালেনে,0.7857142857142857,True,2
16_1.wav,আপোনাক কেনেকৈ সহায় কৰিম,আপোনাক কেনেখৈ হহায়ে কৰিম,0.5,আপোনাক কেনেকৈ সহায় কৰিম,0.3333333333333333,True,1
16_2.wav,আপোনাক কেনেকৈ সহায় কৰিম,আপোনাক কেনেকৈ সহায় কৰিম,0.25,আপোনাক কেনেকৈ সহায় কৰিম,0.6,True,2
17_1.wav,আপোনাৰ কেৰিয়াৰৰ বাবে কি পৰিকল্পনা কৰিছে,আপোনাৰ তেৰিয়াৰৰ বাৱেকি কৰিগোলপনা কৰিছে,0.6666666666666666,আপোনাৰ কেৰিয়াৰৰ বাবে কি পৰিকল্পনা কৰিছে,0.7631578947368421,True,1
17_2.wav,আপোনাৰ কেৰিয়াৰৰ বাবে কি পৰিকল্পনা কৰিছে,আপোনাৰ কেৰিয়াৰৰ বাবে কি পৰিজল্পনা কৰিছে,0.3333333333333333,আপোনাৰ কেৰিয়াৰৰ বাবে কি পৰিকল্পনা কৰিছে,0.42857142857142855,True,2
18_1.wav,আপোনাৰ ফোন নম্বৰটো কি,আপোনাৰ ফুন নম্বৰ টোকি,0.75,আপোনাৰ ফোন নম্বৰটো কি,0.8571428571428572,True,1
18_2.wav,আপোনাৰ ফোন নম্বৰটো কি,আপোনাৰ ভুন নাম্বাৰ টুকি,0.75,আপোনাৰ ফোন নম্বৰটো কি,0.6956521739130435,True,2
19_1.wav,আপোনাৰ বয়স কিমান,াপোনাৰ বয়স কীমান,0.6666666666666666,আপোনাৰ বয়স কিমান,0.2,True,1
19_2.wav,আপোনাৰ বয়স কিমান,আপোনাৰ বয়স কিমান,0.0,আপোনাৰ বয়স কিমান,1.0,True,2
1_1.wav,অনুগ্ৰহ কৰি আপুনি এইটো পুনৰাবৃত্তি কৰিব পাৰিব নেকি,নেই এইটোকোনৰা ব্ৰৃটি কৰিব পাৰেব নেখিন,0.875,মই আপোনাক সহায় কৰিব পাৰো নে,0.45945945945945943,False,1
1_2.wav,অনুগ্ৰহ কৰি আপুনি এইটো পুনৰাবৃত্তি কৰিব পাৰিব নেকি,অনুগ্ৰহকৰি আপুনি এৰইটো পোনৰাবিতি কৰিব কাৰিব নেকি,0.625,আপুনি কৰিব পাৰিব,0.2,False,2
20_1.wav,আমি বাহিৰলৈ যাম নেকি,আমি বায়েৰেওলৈ যাম নেকি,0.25,আমি বাহিৰলৈ যাম নেকি,0.8181818181818181,True,1
20_2.wav,আমি বাহিৰলৈ যাম নেকি,আমি বাহিৰলৈ জাম নেকি,0.25,আমি বাহিৰলৈ যাম নেকি,0.5,True,2
21_1.wav,কি কলা তাক,কি কলা থাক,0.3333333333333333,কি কলা তাক,0.5,True,1
21_2.wav,কি কলা তাক,কি কলাতাক,0.6666666666666666,আপুনি কি কৰিছে,0.5,False,2
22_1.wav,কি কৰিম মই দোমোজাত পৰিছো,কি কৰেই মই দুমোজাক পৰিছোঁ,0.6,আপুনি কি কৰিছে,0.25,False,1
22_2.wav,কি কৰিম মই দোমোজাত পৰিছো,কি কৰিম মই দুমুজাত পৰিছোঁ,0.4,কি কৰিম মই দোমোজাত পৰিছো,0.3333333333333333,True,2
23_1.wav,কি হ'ব বিচাৰিছা,কিয়েই হ ব বিজা ৰিছে,1.6666666666666667,কি হ'ব বিচাৰিছা,0.631578947368421,True,1
23_2.wav,কি হ'ব বিচাৰিছা,কি হব বিচাৰিছা,0.0,কি হ'ব বিচাৰিছা,1.0,True,2
24_1.wav,কি হ’ল,কি হলত,0.5,আপুনি কি কৰিছে,0.5,False,1
24_2.wav,কি হ’ল,কি হল,0.0,কি হ’ল,1.0,True,2
25_1.wav,কিবা লাগে নেকি,কিবা লাগে নেকি,0.0,কিবা লাগে নেকি,1.0,True,1
25_2.wav,কিবা লাগে নেকি,কিবা লাগে নেকি,0.0,কিবা লাগে নেকি,1.0,True,2
26_1.wav,কিবা লুকুৱাইছা নেকি,কিবালোকোৱাইছা নেকি,0.6666666666666666,কিবা লুকুৱাইছা নেকি,0.8333333333333334,True,1
26_2.wav,কিবা লুকুৱাইছা নেকি,কিবা লোকুৱাই চা নেকি,0.6666666666666666,কিবা লাগে নেকি,0.3333333333333333,False,2
27_1.wav,কেতিয়া যাব ৰেলখন,তেতিয়া যাগ ৰাইলখন,1.0,কেতিয়া যাব ৰেলখন,0.6470588235294117,True,1
27_2.wav,কেতিয়া যাব ৰেলখন,কেতিয়া জাবৰিলখন,1.0,কেতিয়া যাব ৰেলখন,0.6666666666666667,True,2
28_1.wav,কেনেকৈ বিশ্বাস কৰিম তোমাক,ঠেনেকৈ বিজ্যা কৰিম টোমাক,0.75,কেনেকৈ বিশ্বাস কৰিম তোমাক,0.7916666666666666,True,1
28_2.wav,কেনেকৈ বিশ্বাস কৰিম তোমাক,কেনেকৈ বিশ্া কৰিম টোমাক,0.5,কেনেকৈ বিশ্বাস কৰিম তোমাক,0.4,True,2
29_1.wav,কেনেকৈ সাহস কৰিলে,কেনেকৈ এহাহক কৰিলে,0.3333333333333333,কেনেকৈ সাহস কৰিলে,0.5,True,1
29_2.wav,কেনেকৈ সাহস কৰিলে,কেনেকৈ হাহাস কৰিলে,0.3333333333333333,কেনেকৈ সাহস কৰিলে,0.5,True,2
2_1.wav,অনুগ্ৰহ কৰি লাহে লাহে কথা পাতিব পাৰিব নেকি,উনুগুৰৰ কৰিলাহে লাহয়ে কজা পাটিবৰ পাৰিব নেগি,0.875,অনুগ্ৰহ কৰি লাহে লাহে কথা পাতিব পাৰিব নেকি,0.7906976744186046,True,1
2_2.wav,অনুগ্ৰহ কৰি লাহে লাহে কথা পাতিব পাৰিব নেকি,অনুদ্ৰ খৰি লাহে লাহে কথা পাতিব কাৰিব নেকি,0.375,অনুগ্ৰহ কৰি লাহে লাহে কথা পাতিব পাৰিব নেকি,0.42857142857142855,True,2
30_1.wav,চিন্তা কৰাৰ প্ৰয়োজন নাই চিন্তা নকৰিব,চিন্তা কৰাৰ পৰুজন নাই চিন্তা ন কৰিবত,0.5,চিন্তা কৰাৰ প্ৰয়োজন নাই চিন্তা নকৰিব,0.2857142857142857,True,1
30_2.wav,চিন্তা কৰাৰ প্ৰয়োজন নাই চিন্তা নকৰিব,চিন্তা কৰাৰ পয়ুজন নায় চিন্তা নকৰিব,0.3333333333333333,চিন্তা কৰাৰ প্ৰয়োজন নাই চিন্তা নকৰিব,0.5,True,2
31_1.wav,তাত মই আপোনাক সহায় কৰিব নোৱাৰো,তাত মই আভনা হহায় কৰেব নোৱাৰোঁ,0.6666666666666666,তাত মই আপোনাক সহায় কৰিব নোৱাৰো,0.7241379310344828,True,1
31_2.wav,তাত মই আপোনাক সহায় কৰিব নোৱাৰো,তাত মই আপোনা ঘহায় কৰিব নোৱাৰোঁ,0.5,আপুনি কৰিব পাৰিব,0.25,False,2
32_1.wav,তুমি কিয় হতাশ হৈছা,তুমি কিয়য় হতা খৈছে,0.75,তুমি কিয় হতাশ হৈছা,0.7894736842105263,True,1
32_2.wav,তুমি কিয় হতাশ হৈছা,তুমি কি় সতা খৈছা,0.75,তুমি কিয় হতাশ হৈছা,0.7647058823529411,True,2
33_1.wav,"তুমি যিয়ে নকৰা কিয়, মই একো গুৰুত্ব নিদিওঁ।",তুমি জীয়ে নকৰা কিয় মই একো গুৰ্থনিদুঁ,0.5,"তুমি যিয়ে নকৰা কিয়, মই একো গুৰুত্ব নিদিওঁ।",0.2222222222222222,True,1
33_2.wav,"তুমি যিয়ে নকৰা কিয়, মই একো গুৰুত্ব নিদিওঁ।",তুমিজীয়ে নকৰাকিয় মই একো গুৰুট্তনিদিওঁ,0.75,"তুমি যিয়ে নকৰা কিয়, মই একো গুৰুত্ব নিদিওঁ।",0.7027027027027026,True,2
34_1.wav,তেওঁ _তাই মোৰ বন্ধু,তোমাৰ লগত কটা পাটী ভান লাগেল,1.5,তোমাৰ লগত কথা পাতি ভাল লাগিল,0.2,False,1
34_2.wav,তেওঁ _তাই মোৰ বন্ধু,তে তাই মোৰ বন্ধুহ,0.5,তেওঁ _তাই মোৰ বন্ধু,0.4,True,2
35_1.wav,তোমাৰ লগত কথা পাতি ভাল লাগিল,তেওঁৰ তাই মোৰ ৱন্দ,1.0,তেওঁ _তাই মোৰ বন্ধু,0.4,False,1
35_2.wav,তোমাৰ লগত কথা পাতি ভাল লাগিল,তোমাৰ লগত কথা পাতি ভাল লাগিল,0.0,তোমাৰ লগত কথা পাতি ভাল লাগিল,1.0,True,2
36_1.wav,নমস্কাৰ,নাৱস্কা,1.0,নমস্কাৰ,0.5714285714285714,True,1
36_2.wav,নমস্কাৰ,নমস্কাৰ,0.0,নমস্কাৰ,1.0,True,2
37_1.wav,"নমস্কাৰ, আপোনাৰ কি খবৰ",স্কাৰ আপোনাৰ কি ঘৱৰ,0.5,আপোনাৰ ফোন নম্বৰটো কি,0.3333333333333333,False,1
37_2.wav,"নমস্কাৰ, আপোনাৰ কি খবৰ",নমস্কাৰ আপুনাৰ কিক খবৰ,0.5,"নমস্কাৰ, আপোনাৰ কি খবৰ",0.3333333333333333,True,2
38_1.wav,মই আপোনাক সহায় কৰিব পাৰো নে,মই আপোনা ঘহায় কৰেৱে পাৰনে,0.8333333333333334,মই আপোনাক সহায় কৰিব পাৰো নে,0.64,True,1
38_2.wav,মই আপোনাক সহায় কৰিব পাৰো নে,মই আপোনা সহায় কৰিব কাৰুণনেছ,0.6666666666666666,আপুনি কৰিব পাৰিব,0.25,False,2
39_1.wav,মই একমত নহয়,মই এক মত নহয়,1.0,মই একমত নহয়,0.75,True,1
39_2.wav,মই একমত নহয়,মই একমতনহয়,0.6666666666666666,মই একমত নহয়,0.7,True,2
3_1.wav,আজি আপুনি আজৰি আছে নিকি,আজি এপনীয়া আজৰীা আছে নেকি,0.6,আজি আপুনি আজৰি আছে নিকি,0.2,True,1
3_2.wav,আজি আপুনি আজৰি আছে নিকি,আজী আপুনি আজৰী আছে নেকি,0.6,আজি আপুনি আজৰি আছে নিকি,0.8695652173913043,True,2
40_1.wav,মই ঠিকেই আছো। ধন্যবাদ ছাৰ,মই থিকেই আছো ধয়নাগাচাৰ,0.6,মই ঠিকেই আছো। ধন্যবাদ ছাৰ,0.6363636363636364,True,1
40_2.wav,মই ঠিকেই আছো। ধন্যবাদ ছাৰ,মই থিকেই আছো ধন্ন গাতাৰ,0.6,মই ঠিকেই আছো। ধন্যবাদ ছাৰ,0.6956521739130435,True,2
41_1.wav,মোক কোনোবাই ৰখাই দিলে,মোক কোনোবায় াৰখাই দিলে,0.5,মোক কোনোবাই ৰখাই দিলে,0.3333333333333333,True,1
